Linux 3.0.101-0.15-default (axle) 	11/19/2014 	_x86_64_

09:33:17 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
09:34:17 PM     all     65.99      0.00     13.05      0.02      0.00     20.94
09:35:17 PM     all     68.14      0.00     12.03      0.00      0.00     19.83
09:36:17 PM     all     67.66      0.00     13.63      0.00      0.00     18.70
09:37:17 PM     all     67.04      0.00     14.69      0.00      0.00     18.27
09:38:17 PM     all     66.03      0.00     15.50      0.00      0.00     18.47
09:39:17 PM     all     64.41      0.00     15.79      0.00      0.00     19.79
09:40:17 PM     all     69.72      0.00     12.23      0.00      0.00     18.05
09:41:17 PM     all     66.33      0.00     15.39      0.00      0.00     18.27
09:42:17 PM     all     66.25      0.00     12.41      0.00      0.00     21.33
09:43:17 PM     all     61.02      0.00     13.55      0.00      0.00     25.42
